filename,title,memory,workers,total_executions
video_stage0_local_2048_x86,video_stage0_local_2048_x86,2048,10,12
video_stage0_local_2048_x86,video_stage0_local_2048_x86,2048,12,12
video_stage0_local_2048_x86,video_stage0_local_2048_x86,2048,16,12
video_stage0_local_2048_x86,video_stage0_local_2048_x86,2048,20,12
video_stage0_local_2048_x86,video_stage0_local_2048_x86,2048,24,12
video_stage0_local_2048_x86,video_stage0_local_2048_x86,2048,28,12
video_stage0_local_512_x86,video_stage0_local_512_x86,512,4,11
video_stage0_local_512_x86,video_stage0_local_512_x86,512,5,11
video_stage0_local_512_x86,video_stage0_local_512_x86,512,6,11
video_stage0_local_512_x86,video_stage0_local_512_x86,512,7,11
video_stage0_local_512_x86,video_stage0_local_512_x86,512,8,11
video_stage0_local_512_x86,video_stage0_local_512_x86,512,9,11
video_stage0_local_512_x86,video_stage0_local_512_x86,512,10,11
video_stage0_local_512_x86,video_stage0_local_512_x86,512,12,11
video_stage0_local_512_x86,video_stage0_local_512_x86,512,16,11
video_stage0_local_512_x86,video_stage0_local_512_x86,512,20,11
video_stage0_local_512_x86,video_stage0_local_512_x86,512,24,11
video_stage0_local_512_x86,video_stage0_local_512_x86,512,28,11
video_stage1_aws_1024Mb_arm,video_stage1_aws_1024Mb_arm,1024,4,8
video_stage1_aws_1024Mb_arm,video_stage1_aws_1024Mb_arm,1024,5,13
video_stage1_aws_1024Mb_arm,video_stage1_aws_1024Mb_arm,1024,6,12
video_stage1_aws_1024Mb_arm,video_stage1_aws_1024Mb_arm,1024,7,12
video_stage1_aws_1024Mb_arm,video_stage1_aws_1024Mb_arm,1024,8,11
video_stage1_aws_1024Mb_arm,video_stage1_aws_1024Mb_arm,1024,9,11
video_stage1_aws_1024Mb_arm,video_stage1_aws_1024Mb_arm,1024,10,13
video_stage1_aws_1024Mb_arm,video_stage1_aws_1024Mb_arm,1024,12,15
video_stage1_aws_1024Mb_arm,video_stage1_aws_1024Mb_arm,1024,16,14
video_stage1_aws_1024Mb_arm,video_stage1_aws_1024Mb_arm,1024,20,15
video_stage1_aws_1024Mb_arm,video_stage1_aws_1024Mb_arm,1024,24,13
video_stage1_aws_1024Mb_arm,video_stage1_aws_1024Mb_arm,1024,28,15
video_stage1_aws_1024Mb_x86,video_stage1_aws_1024Mb_x86,1024,4,10
video_stage1_aws_1024Mb_x86,video_stage1_aws_1024Mb_x86,1024,5,9
video_stage1_aws_1024Mb_x86,video_stage1_aws_1024Mb_x86,1024,6,9
video_stage1_aws_1024Mb_x86,video_stage1_aws_1024Mb_x86,1024,7,9
video_stage1_aws_1024Mb_x86,video_stage1_aws_1024Mb_x86,1024,8,10
video_stage1_aws_1024Mb_x86,video_stage1_aws_1024Mb_x86,1024,9,11
video_stage1_aws_1024Mb_x86,video_stage1_aws_1024Mb_x86,1024,10,12
video_stage1_aws_1024Mb_x86,video_stage1_aws_1024Mb_x86,1024,12,11
video_stage1_aws_1024Mb_x86,video_stage1_aws_1024Mb_x86,1024,16,12
video_stage1_aws_1024Mb_x86,video_stage1_aws_1024Mb_x86,1024,20,13
video_stage1_aws_1024Mb_x86,video_stage1_aws_1024Mb_x86,1024,24,12
video_stage1_aws_1024Mb_x86,video_stage1_aws_1024Mb_x86,1024,28,14
video_stage1_aws_2048Mb_arm,video_stage1_aws_2048Mb_arm,2048,4,11
video_stage1_aws_2048Mb_arm,video_stage1_aws_2048Mb_arm,2048,5,12
video_stage1_aws_2048Mb_arm,video_stage1_aws_2048Mb_arm,2048,6,10
video_stage1_aws_2048Mb_arm,video_stage1_aws_2048Mb_arm,2048,7,9
video_stage1_aws_2048Mb_arm,video_stage1_aws_2048Mb_arm,2048,8,13
video_stage1_aws_2048Mb_arm,video_stage1_aws_2048Mb_arm,2048,9,10
video_stage1_aws_2048Mb_arm,video_stage1_aws_2048Mb_arm,2048,10,9
video_stage1_aws_2048Mb_arm,video_stage1_aws_2048Mb_arm,2048,12,9
video_stage1_aws_2048Mb_arm,video_stage1_aws_2048Mb_arm,2048,16,12
video_stage1_aws_2048Mb_arm,video_stage1_aws_2048Mb_arm,2048,20,11
video_stage1_aws_2048Mb_arm,video_stage1_aws_2048Mb_arm,2048,24,10
video_stage1_aws_2048Mb_arm,video_stage1_aws_2048Mb_arm,2048,28,11
video_stage1_aws_2048Mb_x86,video_stage1_aws_2048Mb_x86,2048,4,8
video_stage1_aws_2048Mb_x86,video_stage1_aws_2048Mb_x86,2048,5,8
video_stage1_aws_2048Mb_x86,video_stage1_aws_2048Mb_x86,2048,6,8
video_stage1_aws_2048Mb_x86,video_stage1_aws_2048Mb_x86,2048,7,8
video_stage1_aws_2048Mb_x86,video_stage1_aws_2048Mb_x86,2048,8,8
video_stage1_aws_2048Mb_x86,video_stage1_aws_2048Mb_x86,2048,9,8
video_stage1_aws_2048Mb_x86,video_stage1_aws_2048Mb_x86,2048,10,8
video_stage1_aws_2048Mb_x86,video_stage1_aws_2048Mb_x86,2048,12,9
video_stage1_aws_2048Mb_x86,video_stage1_aws_2048Mb_x86,2048,16,8
video_stage1_aws_2048Mb_x86,video_stage1_aws_2048Mb_x86,2048,20,8
video_stage1_aws_2048Mb_x86,video_stage1_aws_2048Mb_x86,2048,24,8
video_stage1_aws_2048Mb_x86,video_stage1_aws_2048Mb_x86,2048,28,8
video_stage1_aws_512Mb_arm,video_stage1_aws_512Mb_arm,512,4,8
video_stage1_aws_512Mb_arm,video_stage1_aws_512Mb_arm,512,5,7
video_stage1_aws_512Mb_arm,video_stage1_aws_512Mb_arm,512,6,7
video_stage1_aws_512Mb_arm,video_stage1_aws_512Mb_arm,512,7,8
video_stage1_aws_512Mb_arm,video_stage1_aws_512Mb_arm,512,8,8
video_stage1_aws_512Mb_arm,video_stage1_aws_512Mb_arm,512,9,8
video_stage1_aws_512Mb_arm,video_stage1_aws_512Mb_arm,512,10,8
video_stage1_aws_512Mb_arm,video_stage1_aws_512Mb_arm,512,12,8
video_stage1_aws_512Mb_arm,video_stage1_aws_512Mb_arm,512,16,8
video_stage1_aws_512Mb_arm,video_stage1_aws_512Mb_arm,512,20,7
video_stage1_aws_512Mb_arm,video_stage1_aws_512Mb_arm,512,24,7
video_stage1_aws_512Mb_arm,video_stage1_aws_512Mb_arm,512,28,8
video_stage1_aws_512Mb_x86,video_stage1_aws_512Mb_x86,512,4,7
video_stage1_aws_512Mb_x86,video_stage1_aws_512Mb_x86,512,5,7
video_stage1_aws_512Mb_x86,video_stage1_aws_512Mb_x86,512,6,8
video_stage1_aws_512Mb_x86,video_stage1_aws_512Mb_x86,512,7,8
video_stage1_aws_512Mb_x86,video_stage1_aws_512Mb_x86,512,8,8
video_stage1_aws_512Mb_x86,video_stage1_aws_512Mb_x86,512,9,8
video_stage1_aws_512Mb_x86,video_stage1_aws_512Mb_x86,512,10,7
video_stage1_aws_512Mb_x86,video_stage1_aws_512Mb_x86,512,12,7
video_stage1_aws_512Mb_x86,video_stage1_aws_512Mb_x86,512,16,8
video_stage1_aws_512Mb_x86,video_stage1_aws_512Mb_x86,512,20,8
video_stage1_aws_512Mb_x86,video_stage1_aws_512Mb_x86,512,24,8
video_stage1_aws_512Mb_x86,video_stage1_aws_512Mb_x86,512,28,8
video_stage1_local_1024_x86,video_stage1_local_1024_x86,1024,4,11
video_stage1_local_1024_x86,video_stage1_local_1024_x86,1024,5,11
video_stage1_local_1024_x86,video_stage1_local_1024_x86,1024,6,11
video_stage1_local_1024_x86,video_stage1_local_1024_x86,1024,7,11
video_stage1_local_1024_x86,video_stage1_local_1024_x86,1024,8,11
video_stage1_local_1024_x86,video_stage1_local_1024_x86,1024,9,11
video_stage1_local_1024_x86,video_stage1_local_1024_x86,1024,10,11
video_stage1_local_1024_x86,video_stage1_local_1024_x86,1024,12,11
video_stage1_local_1024_x86,video_stage1_local_1024_x86,1024,16,11
video_stage1_local_1024_x86,video_stage1_local_1024_x86,1024,20,11
video_stage1_local_1024_x86,video_stage1_local_1024_x86,1024,24,11
video_stage1_local_1024_x86,video_stage1_local_1024_x86,1024,28,11
video_stage1_local_2048_x86,video_stage1_local_2048_x86,2048,4,12
video_stage1_local_2048_x86,video_stage1_local_2048_x86,2048,5,12
video_stage1_local_2048_x86,video_stage1_local_2048_x86,2048,6,12
video_stage1_local_2048_x86,video_stage1_local_2048_x86,2048,7,12
video_stage1_local_2048_x86,video_stage1_local_2048_x86,2048,8,12
video_stage1_local_2048_x86,video_stage1_local_2048_x86,2048,9,12
video_stage1_local_2048_x86,video_stage1_local_2048_x86,2048,10,12
video_stage1_local_2048_x86,video_stage1_local_2048_x86,2048,12,12
video_stage1_local_2048_x86,video_stage1_local_2048_x86,2048,16,12
video_stage1_local_2048_x86,video_stage1_local_2048_x86,2048,20,12
video_stage1_local_2048_x86,video_stage1_local_2048_x86,2048,24,12
video_stage1_local_2048_x86,video_stage1_local_2048_x86,2048,28,12
video_stage1_local_512_x86,video_stage1_local_512_x86,512,4,11
video_stage1_local_512_x86,video_stage1_local_512_x86,512,5,11
video_stage1_local_512_x86,video_stage1_local_512_x86,512,6,11
video_stage1_local_512_x86,video_stage1_local_512_x86,512,7,11
video_stage1_local_512_x86,video_stage1_local_512_x86,512,8,11
video_stage1_local_512_x86,video_stage1_local_512_x86,512,9,11
video_stage1_local_512_x86,video_stage1_local_512_x86,512,10,11
video_stage1_local_512_x86,video_stage1_local_512_x86,512,12,11
video_stage1_local_512_x86,video_stage1_local_512_x86,512,16,11
video_stage1_local_512_x86,video_stage1_local_512_x86,512,20,11
video_stage1_local_512_x86,video_stage1_local_512_x86,512,24,11
video_stage1_local_512_x86,video_stage1_local_512_x86,512,28,11
video_stage2_aws_1024Mb_arm,video_stage2_aws_1024Mb_arm,1024,4,8
video_stage2_aws_1024Mb_arm,video_stage2_aws_1024Mb_arm,1024,5,13
video_stage2_aws_1024Mb_arm,video_stage2_aws_1024Mb_arm,1024,6,12
video_stage2_aws_1024Mb_arm,video_stage2_aws_1024Mb_arm,1024,7,12
video_stage2_aws_1024Mb_arm,video_stage2_aws_1024Mb_arm,1024,8,11
video_stage2_aws_1024Mb_arm,video_stage2_aws_1024Mb_arm,1024,9,11
video_stage2_aws_1024Mb_arm,video_stage2_aws_1024Mb_arm,1024,10,13
video_stage2_aws_1024Mb_arm,video_stage2_aws_1024Mb_arm,1024,12,15
video_stage2_aws_1024Mb_arm,video_stage2_aws_1024Mb_arm,1024,16,14
video_stage2_aws_1024Mb_arm,video_stage2_aws_1024Mb_arm,1024,20,15
video_stage2_aws_1024Mb_arm,video_stage2_aws_1024Mb_arm,1024,24,13
video_stage2_aws_1024Mb_arm,video_stage2_aws_1024Mb_arm,1024,28,15
video_stage2_aws_1024Mb_x86,video_stage2_aws_1024Mb_x86,1024,4,10
video_stage2_aws_1024Mb_x86,video_stage2_aws_1024Mb_x86,1024,5,9
video_stage2_aws_1024Mb_x86,video_stage2_aws_1024Mb_x86,1024,6,9
video_stage2_aws_1024Mb_x86,video_stage2_aws_1024Mb_x86,1024,7,9
video_stage2_aws_1024Mb_x86,video_stage2_aws_1024Mb_x86,1024,8,10
video_stage2_aws_1024Mb_x86,video_stage2_aws_1024Mb_x86,1024,9,11
video_stage2_aws_1024Mb_x86,video_stage2_aws_1024Mb_x86,1024,10,12
video_stage2_aws_1024Mb_x86,video_stage2_aws_1024Mb_x86,1024,12,11
video_stage2_aws_1024Mb_x86,video_stage2_aws_1024Mb_x86,1024,16,12
video_stage2_aws_1024Mb_x86,video_stage2_aws_1024Mb_x86,1024,20,13
video_stage2_aws_1024Mb_x86,video_stage2_aws_1024Mb_x86,1024,24,12
video_stage2_aws_1024Mb_x86,video_stage2_aws_1024Mb_x86,1024,28,14
video_stage2_aws_2048Mb_arm,video_stage2_aws_2048Mb_arm,2048,4,11
video_stage2_aws_2048Mb_arm,video_stage2_aws_2048Mb_arm,2048,5,12
video_stage2_aws_2048Mb_arm,video_stage2_aws_2048Mb_arm,2048,6,10
video_stage2_aws_2048Mb_arm,video_stage2_aws_2048Mb_arm,2048,7,9
video_stage2_aws_2048Mb_arm,video_stage2_aws_2048Mb_arm,2048,8,13
video_stage2_aws_2048Mb_arm,video_stage2_aws_2048Mb_arm,2048,9,10
video_stage2_aws_2048Mb_arm,video_stage2_aws_2048Mb_arm,2048,10,9
video_stage2_aws_2048Mb_arm,video_stage2_aws_2048Mb_arm,2048,12,9
video_stage2_aws_2048Mb_arm,video_stage2_aws_2048Mb_arm,2048,16,12
video_stage2_aws_2048Mb_arm,video_stage2_aws_2048Mb_arm,2048,20,11
video_stage2_aws_2048Mb_arm,video_stage2_aws_2048Mb_arm,2048,24,10
video_stage2_aws_2048Mb_arm,video_stage2_aws_2048Mb_arm,2048,28,11
video_stage2_aws_2048Mb_x86,video_stage2_aws_2048Mb_x86,2048,4,8
video_stage2_aws_2048Mb_x86,video_stage2_aws_2048Mb_x86,2048,5,8
video_stage2_aws_2048Mb_x86,video_stage2_aws_2048Mb_x86,2048,6,8
video_stage2_aws_2048Mb_x86,video_stage2_aws_2048Mb_x86,2048,7,8
video_stage2_aws_2048Mb_x86,video_stage2_aws_2048Mb_x86,2048,8,8
video_stage2_aws_2048Mb_x86,video_stage2_aws_2048Mb_x86,2048,9,8
video_stage2_aws_2048Mb_x86,video_stage2_aws_2048Mb_x86,2048,10,8
video_stage2_aws_2048Mb_x86,video_stage2_aws_2048Mb_x86,2048,12,9
video_stage2_aws_2048Mb_x86,video_stage2_aws_2048Mb_x86,2048,16,8
video_stage2_aws_2048Mb_x86,video_stage2_aws_2048Mb_x86,2048,20,8
video_stage2_aws_2048Mb_x86,video_stage2_aws_2048Mb_x86,2048,24,8
video_stage2_aws_2048Mb_x86,video_stage2_aws_2048Mb_x86,2048,28,8
video_stage2_aws_512Mb_arm,video_stage2_aws_512Mb_arm,512,4,8
video_stage2_aws_512Mb_arm,video_stage2_aws_512Mb_arm,512,5,7
video_stage2_aws_512Mb_arm,video_stage2_aws_512Mb_arm,512,6,7
video_stage2_aws_512Mb_arm,video_stage2_aws_512Mb_arm,512,7,8
video_stage2_aws_512Mb_arm,video_stage2_aws_512Mb_arm,512,8,8
video_stage2_aws_512Mb_arm,video_stage2_aws_512Mb_arm,512,9,8
video_stage2_aws_512Mb_arm,video_stage2_aws_512Mb_arm,512,10,8
video_stage2_aws_512Mb_arm,video_stage2_aws_512Mb_arm,512,12,8
video_stage2_aws_512Mb_arm,video_stage2_aws_512Mb_arm,512,16,8
video_stage2_aws_512Mb_arm,video_stage2_aws_512Mb_arm,512,20,7
video_stage2_aws_512Mb_arm,video_stage2_aws_512Mb_arm,512,24,7
video_stage2_aws_512Mb_arm,video_stage2_aws_512Mb_arm,512,28,8
video_stage2_aws_512Mb_x86,video_stage2_aws_512Mb_x86,512,4,7
video_stage2_aws_512Mb_x86,video_stage2_aws_512Mb_x86,512,5,7
video_stage2_aws_512Mb_x86,video_stage2_aws_512Mb_x86,512,6,8
video_stage2_aws_512Mb_x86,video_stage2_aws_512Mb_x86,512,7,8
video_stage2_aws_512Mb_x86,video_stage2_aws_512Mb_x86,512,8,8
video_stage2_aws_512Mb_x86,video_stage2_aws_512Mb_x86,512,9,8
video_stage2_aws_512Mb_x86,video_stage2_aws_512Mb_x86,512,10,7
video_stage2_aws_512Mb_x86,video_stage2_aws_512Mb_x86,512,12,7
video_stage2_aws_512Mb_x86,video_stage2_aws_512Mb_x86,512,16,8
video_stage2_aws_512Mb_x86,video_stage2_aws_512Mb_x86,512,20,8
video_stage2_aws_512Mb_x86,video_stage2_aws_512Mb_x86,512,24,8
video_stage2_aws_512Mb_x86,video_stage2_aws_512Mb_x86,512,28,8
video_stage2_local_1024_x86,video_stage2_local_1024_x86,1024,4,11
video_stage2_local_1024_x86,video_stage2_local_1024_x86,1024,5,11
video_stage2_local_1024_x86,video_stage2_local_1024_x86,1024,6,11
video_stage2_local_1024_x86,video_stage2_local_1024_x86,1024,7,11
video_stage2_local_1024_x86,video_stage2_local_1024_x86,1024,8,11
video_stage2_local_1024_x86,video_stage2_local_1024_x86,1024,9,11
video_stage2_local_1024_x86,video_stage2_local_1024_x86,1024,10,11
video_stage2_local_1024_x86,video_stage2_local_1024_x86,1024,12,11
video_stage2_local_1024_x86,video_stage2_local_1024_x86,1024,16,11
video_stage2_local_1024_x86,video_stage2_local_1024_x86,1024,20,11
video_stage2_local_1024_x86,video_stage2_local_1024_x86,1024,24,11
video_stage2_local_1024_x86,video_stage2_local_1024_x86,1024,28,11
video_stage2_local_2048_x86,video_stage2_local_2048_x86,2048,4,12
video_stage2_local_2048_x86,video_stage2_local_2048_x86,2048,5,12
video_stage2_local_2048_x86,video_stage2_local_2048_x86,2048,6,12
video_stage2_local_2048_x86,video_stage2_local_2048_x86,2048,7,12
video_stage2_local_2048_x86,video_stage2_local_2048_x86,2048,8,12
video_stage2_local_2048_x86,video_stage2_local_2048_x86,2048,9,12
video_stage2_local_2048_x86,video_stage2_local_2048_x86,2048,10,12
video_stage2_local_2048_x86,video_stage2_local_2048_x86,2048,12,12
video_stage2_local_2048_x86,video_stage2_local_2048_x86,2048,16,12
video_stage2_local_2048_x86,video_stage2_local_2048_x86,2048,20,12
video_stage2_local_2048_x86,video_stage2_local_2048_x86,2048,24,12
video_stage2_local_2048_x86,video_stage2_local_2048_x86,2048,28,12
video_stage2_local_512_x86,video_stage2_local_512_x86,512,4,11
video_stage2_local_512_x86,video_stage2_local_512_x86,512,5,11
video_stage2_local_512_x86,video_stage2_local_512_x86,512,6,11
video_stage2_local_512_x86,video_stage2_local_512_x86,512,7,11
video_stage2_local_512_x86,video_stage2_local_512_x86,512,8,11
video_stage2_local_512_x86,video_stage2_local_512_x86,512,9,11
video_stage2_local_512_x86,video_stage2_local_512_x86,512,10,11
video_stage2_local_512_x86,video_stage2_local_512_x86,512,12,11
video_stage2_local_512_x86,video_stage2_local_512_x86,512,16,11
video_stage2_local_512_x86,video_stage2_local_512_x86,512,20,11
video_stage2_local_512_x86,video_stage2_local_512_x86,512,24,11
video_stage2_local_512_x86,video_stage2_local_512_x86,512,28,11
video_stage3_aws_1024Mb_arm,video_stage3_aws_1024Mb_arm,1024,4,8
video_stage3_aws_1024Mb_arm,video_stage3_aws_1024Mb_arm,1024,5,13
video_stage3_aws_1024Mb_arm,video_stage3_aws_1024Mb_arm,1024,6,12
video_stage3_aws_1024Mb_arm,video_stage3_aws_1024Mb_arm,1024,7,12
video_stage3_aws_1024Mb_arm,video_stage3_aws_1024Mb_arm,1024,8,11
video_stage3_aws_1024Mb_arm,video_stage3_aws_1024Mb_arm,1024,9,11
video_stage3_aws_1024Mb_arm,video_stage3_aws_1024Mb_arm,1024,10,13
video_stage3_aws_1024Mb_arm,video_stage3_aws_1024Mb_arm,1024,12,15
video_stage3_aws_1024Mb_arm,video_stage3_aws_1024Mb_arm,1024,16,14
video_stage3_aws_1024Mb_arm,video_stage3_aws_1024Mb_arm,1024,20,15
video_stage3_aws_1024Mb_arm,video_stage3_aws_1024Mb_arm,1024,24,13
video_stage3_aws_1024Mb_arm,video_stage3_aws_1024Mb_arm,1024,28,15
video_stage3_aws_1024Mb_x86,video_stage3_aws_1024Mb_x86,1024,4,10
video_stage3_aws_1024Mb_x86,video_stage3_aws_1024Mb_x86,1024,5,9
video_stage3_aws_1024Mb_x86,video_stage3_aws_1024Mb_x86,1024,6,9
video_stage3_aws_1024Mb_x86,video_stage3_aws_1024Mb_x86,1024,7,9
video_stage3_aws_1024Mb_x86,video_stage3_aws_1024Mb_x86,1024,8,10
video_stage3_aws_1024Mb_x86,video_stage3_aws_1024Mb_x86,1024,9,11
video_stage3_aws_1024Mb_x86,video_stage3_aws_1024Mb_x86,1024,10,12
video_stage3_aws_1024Mb_x86,video_stage3_aws_1024Mb_x86,1024,12,11
video_stage3_aws_1024Mb_x86,video_stage3_aws_1024Mb_x86,1024,16,12
video_stage3_aws_1024Mb_x86,video_stage3_aws_1024Mb_x86,1024,20,13
video_stage3_aws_1024Mb_x86,video_stage3_aws_1024Mb_x86,1024,24,12
video_stage3_aws_1024Mb_x86,video_stage3_aws_1024Mb_x86,1024,28,14
video_stage3_aws_2048Mb_arm,video_stage3_aws_2048Mb_arm,2048,4,11
video_stage3_aws_2048Mb_arm,video_stage3_aws_2048Mb_arm,2048,5,12
video_stage3_aws_2048Mb_arm,video_stage3_aws_2048Mb_arm,2048,6,10
video_stage3_aws_2048Mb_arm,video_stage3_aws_2048Mb_arm,2048,7,9
video_stage3_aws_2048Mb_arm,video_stage3_aws_2048Mb_arm,2048,8,12
video_stage3_aws_2048Mb_arm,video_stage3_aws_2048Mb_arm,2048,9,10
video_stage3_aws_2048Mb_arm,video_stage3_aws_2048Mb_arm,2048,10,9
video_stage3_aws_2048Mb_arm,video_stage3_aws_2048Mb_arm,2048,12,9
video_stage3_aws_2048Mb_arm,video_stage3_aws_2048Mb_arm,2048,16,11
video_stage3_aws_2048Mb_arm,video_stage3_aws_2048Mb_arm,2048,20,11
video_stage3_aws_2048Mb_arm,video_stage3_aws_2048Mb_arm,2048,24,10
video_stage3_aws_2048Mb_arm,video_stage3_aws_2048Mb_arm,2048,28,11
video_stage3_aws_2048Mb_x86,video_stage3_aws_2048Mb_x86,2048,4,8
video_stage3_aws_2048Mb_x86,video_stage3_aws_2048Mb_x86,2048,5,8
video_stage3_aws_2048Mb_x86,video_stage3_aws_2048Mb_x86,2048,6,8
video_stage3_aws_2048Mb_x86,video_stage3_aws_2048Mb_x86,2048,7,8
video_stage3_aws_2048Mb_x86,video_stage3_aws_2048Mb_x86,2048,8,8
video_stage3_aws_2048Mb_x86,video_stage3_aws_2048Mb_x86,2048,9,8
video_stage3_aws_2048Mb_x86,video_stage3_aws_2048Mb_x86,2048,10,8
video_stage3_aws_2048Mb_x86,video_stage3_aws_2048Mb_x86,2048,12,9
video_stage3_aws_2048Mb_x86,video_stage3_aws_2048Mb_x86,2048,16,8
video_stage3_aws_2048Mb_x86,video_stage3_aws_2048Mb_x86,2048,20,8
video_stage3_aws_2048Mb_x86,video_stage3_aws_2048Mb_x86,2048,24,8
video_stage3_aws_2048Mb_x86,video_stage3_aws_2048Mb_x86,2048,28,8
video_stage3_aws_512Mb_arm,video_stage3_aws_512Mb_arm,512,4,8
video_stage3_aws_512Mb_arm,video_stage3_aws_512Mb_arm,512,5,7
video_stage3_aws_512Mb_arm,video_stage3_aws_512Mb_arm,512,6,7
video_stage3_aws_512Mb_arm,video_stage3_aws_512Mb_arm,512,7,8
video_stage3_aws_512Mb_arm,video_stage3_aws_512Mb_arm,512,8,8
video_stage3_aws_512Mb_arm,video_stage3_aws_512Mb_arm,512,9,8
video_stage3_aws_512Mb_arm,video_stage3_aws_512Mb_arm,512,10,8
video_stage3_aws_512Mb_arm,video_stage3_aws_512Mb_arm,512,12,8
video_stage3_aws_512Mb_arm,video_stage3_aws_512Mb_arm,512,16,8
video_stage3_aws_512Mb_arm,video_stage3_aws_512Mb_arm,512,20,7
video_stage3_aws_512Mb_arm,video_stage3_aws_512Mb_arm,512,24,7
video_stage3_aws_512Mb_arm,video_stage3_aws_512Mb_arm,512,28,8
video_stage3_aws_512Mb_x86,video_stage3_aws_512Mb_x86,512,4,7
video_stage3_aws_512Mb_x86,video_stage3_aws_512Mb_x86,512,5,7
video_stage3_aws_512Mb_x86,video_stage3_aws_512Mb_x86,512,6,8
video_stage3_aws_512Mb_x86,video_stage3_aws_512Mb_x86,512,7,8
video_stage3_aws_512Mb_x86,video_stage3_aws_512Mb_x86,512,8,8
video_stage3_aws_512Mb_x86,video_stage3_aws_512Mb_x86,512,9,8
video_stage3_aws_512Mb_x86,video_stage3_aws_512Mb_x86,512,10,7
video_stage3_aws_512Mb_x86,video_stage3_aws_512Mb_x86,512,12,7
video_stage3_aws_512Mb_x86,video_stage3_aws_512Mb_x86,512,16,8
video_stage3_aws_512Mb_x86,video_stage3_aws_512Mb_x86,512,20,8
video_stage3_aws_512Mb_x86,video_stage3_aws_512Mb_x86,512,24,8
video_stage3_aws_512Mb_x86,video_stage3_aws_512Mb_x86,512,28,8
video_stage3_local_1024_x86,video_stage3_local_1024_x86,1024,4,11
video_stage3_local_1024_x86,video_stage3_local_1024_x86,1024,5,11
video_stage3_local_1024_x86,video_stage3_local_1024_x86,1024,6,11
video_stage3_local_1024_x86,video_stage3_local_1024_x86,1024,7,11
video_stage3_local_1024_x86,video_stage3_local_1024_x86,1024,8,11
video_stage3_local_1024_x86,video_stage3_local_1024_x86,1024,9,11
video_stage3_local_1024_x86,video_stage3_local_1024_x86,1024,10,11
video_stage3_local_1024_x86,video_stage3_local_1024_x86,1024,12,11
video_stage3_local_1024_x86,video_stage3_local_1024_x86,1024,16,11
video_stage3_local_1024_x86,video_stage3_local_1024_x86,1024,20,11
video_stage3_local_1024_x86,video_stage3_local_1024_x86,1024,24,11
video_stage3_local_1024_x86,video_stage3_local_1024_x86,1024,28,11
video_stage3_local_2048_x86,video_stage3_local_2048_x86,2048,4,12
video_stage3_local_2048_x86,video_stage3_local_2048_x86,2048,5,12
video_stage3_local_2048_x86,video_stage3_local_2048_x86,2048,6,12
video_stage3_local_2048_x86,video_stage3_local_2048_x86,2048,7,12
video_stage3_local_2048_x86,video_stage3_local_2048_x86,2048,8,12
video_stage3_local_2048_x86,video_stage3_local_2048_x86,2048,9,12
video_stage3_local_2048_x86,video_stage3_local_2048_x86,2048,10,12
video_stage3_local_2048_x86,video_stage3_local_2048_x86,2048,12,12
video_stage3_local_2048_x86,video_stage3_local_2048_x86,2048,16,12
video_stage3_local_2048_x86,video_stage3_local_2048_x86,2048,20,12
video_stage3_local_2048_x86,video_stage3_local_2048_x86,2048,24,12
video_stage3_local_2048_x86,video_stage3_local_2048_x86,2048,28,12
video_stage3_local_512_x86,video_stage3_local_512_x86,512,4,11
video_stage3_local_512_x86,video_stage3_local_512_x86,512,5,11
video_stage3_local_512_x86,video_stage3_local_512_x86,512,6,11
video_stage3_local_512_x86,video_stage3_local_512_x86,512,7,11
video_stage3_local_512_x86,video_stage3_local_512_x86,512,8,11
video_stage3_local_512_x86,video_stage3_local_512_x86,512,9,11
video_stage3_local_512_x86,video_stage3_local_512_x86,512,10,11
video_stage3_local_512_x86,video_stage3_local_512_x86,512,12,11
video_stage3_local_512_x86,video_stage3_local_512_x86,512,16,11
video_stage3_local_512_x86,video_stage3_local_512_x86,512,20,11
video_stage3_local_512_x86,video_stage3_local_512_x86,512,24,11
video_stage3_local_512_x86,video_stage3_local_512_x86,512,28,11
